review,category_sentiment,category,sentiment,cleaned_review,tokenized_words
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,wifi_P1-neg,wifi_P1,neg,kotor berdebu tdk berhenti bersin masuk kamar kesan kamarnya kumuh wifi rusak lgsg check out,"['kotor', 'berdebu', 'tdk', 'berhenti', 'bersin', 'masuk', 'kamar', 'kesan', 'kamarnya', 'kumuh', 'wifi', 'rusak', 'lgsg', 'check', 'out']"
Kotor berdebu. Saya tdk berhenti bersin ketika awal masuk kamar. Kesan kamarnya kumuh. Wifi rusak. Saya lgsg check out,kebersihan-neg,kebersihan,neg,kotor berdebu tdk berhenti bersin masuk kamar kesan kamarnya kumuh wifi rusak lgsg check out,"['kotor', 'berdebu', 'tdk', 'berhenti', 'bersin', 'masuk', 'kamar', 'kesan', 'kamarnya', 'kumuh', 'wifi', 'rusak', 'lgsg', 'check', 'out']"
kamar ada semutnya. kamar mandi bermasalah. buangan air mampet..sehingga air meluber ke luar kamar,kebersihan-neg,kebersihan,neg,kamar semutnya kamar mandi bermasalah buangan air mampetsehingga air meluber kamar,"['kamar', 'semutnya', 'kamar', 'mandi', 'bermasalah', 'buangan', 'air', 'mampetsehingga', 'air', 'meluber', 'kamar']"
"Kamar mandi bau, airnya bau",bau_P1-neg,bau_P1,neg,kamar mandi bau airnya bau,"['kamar', 'mandi', 'bau', 'airnya', 'bau']"
"tak sesuai espektasi, kamar sempit, pintu kamar mandi rusak, cek in menunggu terlalu lama, malam suara berisik dr atap kamar, tidak nyaman",service-neg,service,neg,sesuai espektasi kamar sempit pintu kamar mandi rusak cek in menunggu malam suara berisik dr atap kamar nyaman,"['sesuai', 'espektasi', 'kamar', 'sempit', 'pintu', 'kamar', 'mandi', 'rusak', 'cek', 'in', 'menunggu', 'malam', 'suara', 'berisik', 'dr', 'atap', 'kamar', 'nyaman']"
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau ,linen_P1-neg,linen_P1,neg,buruk kasur bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau,"['buruk', 'kasur', 'bekas', 'sperma', 'seprai', 'jg', 'air', 'bau', 'karat', 'kasur', 'pernya', 'jg', 'rusak', 'sabun', 'habis', 'pasword', 'wifi', 'ga', 'tau']"
buruk. kasur ada bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau ,wifi_P1-neg,wifi_P1,neg,buruk kasur bekas sperma seprai jg air bau karat kasur pernya jg rusak sabun habis pasword wifi ga tau,"['buruk', 'kasur', 'bekas', 'sperma', 'seprai', 'jg', 'air', 'bau', 'karat', 'kasur', 'pernya', 'jg', 'rusak', 'sabun', 'habis', 'pasword', 'wifi', 'ga', 'tau']"
baik dan puas tapi masih ada kekurangannya waktu saya boking airy rooms saya pilih 1 bad tp ketika saya cek in yang di kasih 2 bad.! mohon di tingkatkan lagi.. terimah kasih airy rooma.!,service-neg,service,neg,puas kekurangannya boking airy rooms pilih bad tp cek in kasih bad mohon tingkatkan terimah kasih airy rooma,"['puas', 'kekurangannya', 'boking', 'airy', 'rooms', 'pilih', 'bad', 'tp', 'cek', 'in', 'kasih', 'bad', 'mohon', 'tingkatkan', 'terimah', 'kasih', 'airy', 'rooma']"
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",kebersihan-neg,kebersihan,neg,kamar mandinya bersih lengkap faslitasnya dikamar mandi lumayan,"['kamar', 'mandinya', 'bersih', 'lengkap', 'faslitasnya', 'dikamar', 'mandi', 'lumayan']"
"Kamar mandinya kurang bersih, dan kurang lengkap faslitasnya untuk dikamar mandi, untuk yang lain lumayan",linen_P1-neg,linen_P1,neg,kamar mandinya bersih lengkap faslitasnya dikamar mandi lumayan,"['kamar', 'mandinya', 'bersih', 'lengkap', 'faslitasnya', 'dikamar', 'mandi', 'lumayan']"
sarung bantal agak bau,linen_P1-neg,linen_P1,neg,sarung bantal bau,"['sarung', 'bantal', 'bau']"
